paragraph,predict_label,count,different,empty,diff rate,empty rate
For two decades weve been listed on leading sustainability indices and 2021,18,0,diff,,,
was no different We were named to the FTSE4Good Index Series for the,18,26,diff,empty,,
20th time The Index is designed to measure the performance of companies,18,8,diff,,,
We were also listed on the North America Dow Jones Sustainability Indexes,18,0,diff,,,
for the 11th time The pioneering series of global sustainability benchmarks,18,0,diff,,,
is comprised of global regional and country leaders annually assessed on,4,26,diff,empty,,
longterm governance and economic environmental and social criteria,10,0,diff,,,
Additionally we were once again named to Barrons 100 Most Sustainable,15,26,diff,empty,,
Companies list and ranked among the top five companies in the Leading Climate,13,25,diff,,,
We are focused on driving three outcomes through our sustainability priorities,15,0,diff,,,
Sustainable Customers Enable our customers to achieve their own sustainability goals making a positive impact on the world,15,10,diff,,,
Sustainable Company Create innovative sustainable products and solutions and foster a culture that empowers employees to operate safely sustainably and responsibly,15,8,diff,,,
Sustainable Communities Support the communities in which we live and work having an impact that extends beyond our own organization,10,10,,,,
Together with shared values for a sustainable future were significantly expanding our ability to make a positive impact on the world by helping our global customers achieve their sustainability goals,15,0,diff,,,
We believe information is the key to sustainability Every day,15,0,diff,,,
we help tens of thousands of customers make datadriven,1,26,diff,empty,,
decisions that benefit both business and the planet We help customers leverage digital transformation to reduce global impact,3,10,diff,,,
unlocks access to valuable production data and insights that,1,22,diff,,,
Organizations recognize they must be good stewards of resources,23,26,diff,empty,,
whether it be water air gas electricity steam materials or people,21,20,diff,,,
Sustainability is a growing stakeholder concern with increasing,15,0,diff,,,
demands to do business in ways that are more productive and,15,26,diff,empty,,
responsible Like us at least onefifth of the worlds largest companies have declared net zero emissions goals1,21,21,,,,
The quickest way we can accelerate our sustainability journey is by,3,0,diff,,,
helping our customers accelerate theirs through our decades of,15,26,diff,empty,,
leading software hardware and services With todays advanced,15,26,diff,empty,,
technologies its abundantly clear that sustainability is not a cost but,15,0,diff,,,
an investment that can deliver productivity and real business value,3,26,diff,empty,,
Industrial energy management software solutions to reduce energy use across the value chain,24,24,,,,
Smart water solutions improve water quality and efficiency,20,20,,,,
Waste management and recycling solutions to enable the circular economy,19,19,,,,
Weve focused on energy water and waste as,19,19,,,,
the three areas we believe offer the greatest opportunity for meaningful customer outcomes Were enhancing and expanding our sustainability,15,0,diff,,,
services firm in 2020 With a unique method,3,26,diff,empty,,
ology to help customers start or advance their,15,26,diff,empty,,
Advancing innovation and ecoefficiency in the solar industry Longtime Rockwell customer First Solar is building a third Ohio,15,24,diff,,,
manufacturing facility that will be one of the most advanced,15,15,,,,
of its kind in the solar industry The 18millionsquarefoot plant,24,24,,,,
will combine highly skilled workers with Industry 40 architecture,11,26,diff,empty,,
Internet of Things IoT connectivity to produce a higher degree of automation precision and continuous improvement,1,26,diff,empty,,
Once the new facility achieves full production capacity First Solar,24,24,,,,
expects to produce an anticipated average of one photovoltaic,24,26,diff,empty,,
module commonly known as a solar panel roughly every 275,24,24,,,,
First Solar also plans to build a new facility in India designed with the,24,24,,,,
same advanced manufacturing template as the new Ohio plant The,15,15,,,,
Ohio and India facilities are expected to start operations in 2023 and,3,26,diff,empty,,
Setting the standard for the circular economy in steel production Our control technologies and expertise in plant design and engineering are part of Europes first fullscale,15,26,diff,empty,,
facility to convert CO2 to ethanol for use as fuel in plastic production ArcelorMittal Belgiums Steelanol plant currently in assembly in Ghent represents an important step toward the circular use of carbon by recycling what,24,19,diff,,,
was previously a harmful biproduct into a new commodity The plant which also uses technologies from sustain,19,26,diff,empty,,
ability company LanzaTech is expected to produce 64000 metric tons of ethanol per year with no discharge to the,24,20,diff,,,
environment by the time it reaches full production capacity in 2023,24,26,diff,empty,,
For as long as Ive been with the company sustainability has been an important priority said ArcelorMittal Chief,3,0,diff,,,
Technology Officer Wim Van der Stricht The metal sector is at a turning point and we aim to help set the standard,12,26,diff,empty,,
for how steel production can be done in an environmentally sustainable way,15,26,diff,empty,,
Funding was obtained from various sources including the Flemish government and the European Unions Horizon,12,26,diff,empty,,
2020 research and innovation program under grant agreement No 656437,12,3,diff,,,
We also launched FactoryTalk Energy Manager a prepackaged software application that runs,24,24,,,,
To help customers reduce waste and monitor manage and recycle their production assets,19,19,,,,
energy water and material use compared to a,20,20,,,,
innovators to develop and design new systems to,15,26,diff,empty,,
For example Sealed Air the brand behind the iconic Bubble Wrap product is,15,26,diff,empty,,
innovations Sealed Air uses Rockwell technologies to develop new processes to,21,26,diff,empty,,
recycle plastic scrap and postconsumer plastic back into,19,26,diff,empty,,
product and raw materials and to design and build highly energy efficient,15,24,diff,,,
Between Rockwell Automation and Sealed Air we share the same values,21,0,diff,,,
said Ron Cotterman Sealed Airs vice president of Sustainability Innovation,3,3,,,,
and Strategy Whether its the efficiency of operations whether its trying,4,20,diff,,,
to be resourceful by recycling and reusing materials or whether its driving,15,19,diff,,,
Were applying our expertise to help influence standards and programs that are,12,11,diff,,,
having an impact around the world Rockwells Ian Shih regional vice president Greater China was appointed a national advisor of the United Nations Industrial Development Organization and the Fourth Industrial Revolution Alliance Hes a frequent speaker on the importance of digital transformation,3,4,diff,,,
to empower smart and sustainable manufacturing and carbon neutrality,15,24,diff,,,
Lighting the path to smarter safer and more sustainable communities Dutch lighting manufacturer Sustainder and its partner Technologies Added,24,26,diff,empty,,
used Rockwell systems to develop smart safe street lighting for a northeastern,24,24,,,,
Netherlands city that can reduce energy use by 90 Lighting for cyclists is a major,24,24,,,,
concern in the Netherlands where there are more bicycles than residents The city,12,26,diff,empty,,
of Emmen replaced all streetlights with LED fixtures equipped with sensors including,24,26,diff,empty,,
motion detection that dim and light bicycle paths as needed and contribute to a,24,26,diff,empty,,
From pollutant to resource Using Rockwells control and automation technology,21,26,diff,empty,,
leaders of the West Virginia Water Research Institute,20,4,diff,,,
WVWRI at West Virginia University hope to turn acid mine,17,26,diff,empty,,
drainage into a resource that powers most of todays modern,20,26,diff,empty,,
devices and systems According to Institute Director Paul,1,7,diff,,,
We also expanded our involvement with the World Economic Forum WEF in which Chairman and CEO Blake Moret serves as an agenda contributor and is a past,12,26,diff,empty,,
Davos Forum panelist We joined the WEFs Advanced,4,26,diff,empty,,
as an Advanced Manufacturing Fellow focused on ESG,15,15,,,,
opportunities Allie and Tajaey Young team lead for our,8,26,diff,empty,,
Ziemkiewicz acid mine drainage is the most urgent water,20,20,,,,
sales onboarding programs were also appointed to the,15,26,diff,empty,,
pollution problem in the Appalachian Coal Basin and western,23,19,diff,,,
With funding from the West Virginia Department of,12,26,diff,empty,,
and are building a plant that treats acidmine drainage,20,26,diff,empty,,
contamination and returns clean water to rivers and streams,20,20,,,,
while extracting rare earth elements and critical minerals,17,26,diff,empty,,
Rare earth elements are key components of cellphones,25,26,diff,empty,,
As members theyre helping to shape new ideas that,3,26,diff,empty,,
champion the industry to younger generations and drive,2,26,diff,empty,,
Manufacturing consumes 54 of the worlds energy and contributes to 20 of CO2 emissions globally2 While doing better with current assets clearly presents an,25,15,diff,,,
must be matched with an ambition to reinvent operations,3,26,diff,empty,,
to set in motion more sustainable less carbonintensive,24,26,diff,empty,,
Clean water flows again in West Virginias Muddy Creek,20,20,,,,
P h o t o c o u r t e s y o f,4,26,diff,empty,,
W V U W a t e r R e s e a r c h,12,26,diff,empty,,
n s t i t u t e,4,26,diff,empty,,
As more companies embark on their digital transformation journeys with smarter technologies and greater connectivity cybersecurity and safety are significant concerns,9,1,diff,,,
No company is immune from this potential threat to their business,18,26,diff,empty,,
In the last year more than a third of industrial control systems ICS were targets of cyber attacks3 with highprofile incidents shutting down critical infrastructure that threatened energy water and food,1,20,diff,,,
supplies Ransomware attacks were more prominent with companies,1,1,,,,
paying millions of dollars on top of the millions lost from downtime and,18,26,diff,empty,,
Whats more safety and security risks are inherently linked A security,5,22,diff,,,
breach impacting assets that control physical and kinetic systems can,1,9,diff,,,
potentially damage equipment hurt people and harm the environment,23,26,diff,empty,,
Strong cybersecurity is no longer a best practice but a mustdo With,1,1,,,,
more than 100 years of industrial automation experience we secure,24,26,diff,empty,,
some of the worlds most important plants assets networks and,1,26,diff,empty,,
infrastructure from downtime and damage caused by cyber attacks,1,20,diff,,,
For manufacturers protection starts with a rocksolid foundation of,4,6,diff,,,
operational technology OT expertise to assess security needs develop,1,22,diff,,,
a strategy and deploy manage and secure industrial operations,5,26,diff,empty,,
of industrial control systems were targets of cyber attacks during the first half of 2021 3,1,26,diff,empty,,
We opened our new Cyber Security Operations Center SOC in Israel Located in Tel Aviv the SOC delivers remote cybersecurity services to our,1,1,,,,
CISA to coordinate and issue security alerts and,1,22,diff,,,
to events along with 15 remote service centers,24,6,diff,,,
and systems As the market leader in machine,17,26,diff,empty,,
based in Israel and Oylo based in Spain,3,26,diff,empty,,
power of data to keep people safe and improve,5,22,diff,,,
critical that we as an automation leader partner,1,26,diff,empty,,
jointly innovate on ways to protect our customers,15,26,diff,empty,,
As such we formed new partnerships with Dragos Inc and CrowdStrike,4,26,diff,empty,,
or systems that are in safe mode They also,5,26,diff,empty,,
Our partnership with Dragos a global leader in,4,10,diff,,,
only helps keep people and processes safe but,9,26,diff,empty,,
join our growing list of worldclass cybersecurity partners that includes Claroty and Cisco,1,1,,,,
automation journey they can have a safer more,15,26,diff,empty,,
To provide a greater level of protection and peace,10,6,diff,,,
of mind for our customers we also continue to,15,26,diff,empty,,
more of our own products and achieve certifica,15,26,diff,empty,,
Our customers depend on us to provide products and solutions that comply with regional national and local regulations and standards for environment safety and quality,14,6,diff,,,
We serve as a global resource for new and emerging,3,26,diff,empty,,
As a producer of Electrical and Electronic Equipment,24,26,diff,empty,,
EEE under the EUs Waste EEE extended producer,19,19,,,,
responsibility framework we continue to take back free,10,0,diff,,,
of charge inscope waste for treatment and recycling,19,19,,,,
Were proactive in our approach with a priority to achieve,12,26,diff,empty,,
compliance ahead of scheduled deadlines and work closely,12,0,diff,,,
We are ahead of schedule to meet the UKCA United,12,26,diff,empty,,
with our suppliers to verify conformance and when,17,26,diff,empty,,
requires a new product mark for products sold within,15,26,diff,empty,,
the UK The marking applies to most goods previously,15,26,diff,empty,,
In 2021 we completed compliance ahead of a July amend,12,0,diff,,,
subject to the CE marking which required manufacturers to take responsibility for product compliance with all,14,0,diff,,,
ment deadline that added four phthalates to the list of,6,26,diff,empty,,
restricted substances in the EU Restriction of Hazardous,19,19,,,,
Substances RoHS Directive Phthalates are a group of,25,26,diff,empty,,
We also completed several milestones as part of our ongoing,12,26,diff,empty,,
We consider the entire lifecycle of our products including,15,26,diff,empty,,
program to meet the European Union EU Ecodesign direc,12,26,diff,empty,,
the highest standards of product safety and compliance,14,9,diff,,,
tive which is a set of mandatory requirements to improve,12,26,diff,empty,,
energy efficiency and reduce greenhouse gas emissions All,25,25,,,,
our inscope product offerings including displays and low,15,26,diff,empty,,
Were proud to work with the worlds top life sciences companies providing them with the automation technologies they need to develop and produce new medicines and treatments,6,26,diff,empty,,
In fact 95 of Fortune 500 life sciences,17,26,diff,empty,,
companies are Rockwell customers4 As the global COVID19 pandemic brings,18,26,diff,empty,,
who needed to scale up rapidly to meet global demand Thermo Fisher Scientific plays an important role in the pharmaceutical ecosystem,18,4,diff,,,
as part of their Pharma 40 digital transformation,3,26,diff,empty,,
compliance all of which play a critical role in,0,0,,,,
disparate systems resulting in increased visibility and access to realtime data for faster decision,1,22,diff,,,
making one of our customers reduced time to,24,26,diff,empty,,
Were working with the life sciences industry to,15,11,diff,,,
machine can do the work of several all with fewer,4,26,diff,empty,,
greater on the life sciences industry But with our,15,26,diff,empty,,
Reimagining whats possible in biopharmaceutical production Cytiva is a global life sciences leader working to transform human,17,10,diff,,,
health by providing access to lifechanging therapies With 75,2,6,diff,,,
ogies the company has more than 100000 systems in use globally,1,26,diff,empty,,
Cytiva is a trusted provider supplying the tools and services the,15,26,diff,empty,,
biopharma industry needs to work better faster and safer leading to,15,26,diff,empty,,
better patient outcomes Thats just one important reason why Cytiva,2,26,diff,empty,,
relies on our Connected Enterprise technologies as part of its digital transformation and Industry 40 initiative,3,26,diff,empty,,
Now more than ever as an industry we must get smaller faster and,12,26,diff,empty,,
more costeffective in the way we manufacture drugs vaccines and,24,26,diff,empty,,
therapeutics said Cytivas Kevin Seaver executive general manager,6,26,diff,empty,,
Automation and Digital By automating processes and analyzing,15,26,diff,empty,,
data we can rethink every step of drug manufacturing and realize,6,15,diff,,,
economies of scale with flexibility efficiency and confidence,4,3,diff,,,
Working with Pyure to combat COVID19 and provide cleaner air We entered into a fiveyear strategic agreement with The Pyure,21,11,diff,,,
Company to work together to provide solutions that improve,15,26,diff,empty,,
indoor air quality and fight the spread of COVID19 Pyure is an,21,6,diff,,,
kill more than 99 of the most common indoor pathogens including,20,21,diff,,,
With the pandemic remaining a top health concern Pyure will use our,13,6,diff,,,
product and software offerings to provide customers with secure,1,26,diff,empty,,
realtime access to industrial operations data and the ability to,1,22,diff,,,
integrate that information and control into their building manage,1,26,diff,empty,,
ment strategy The increased data visibility allows Pyure customers,1,22,diff,,,
to compare indoor and outdoor conditions to choose the best,9,21,diff,,,
Partnership to automate tissue and organ production Since 2018 weve partnered with the Advanced Regenerative,15,10,diff,,,
production of tissue and organ biofabrication ARMI brings together,15,26,diff,empty,,
advances in manufacturing biotech medicine and life sciences to,2,15,diff,,,
create new possibilities for those with immediate need for human,2,10,diff,,,
tissue and organs Its a lifechanging approach that adds a new,4,26,diff,empty,,
ARMIs first automated tissue line went online in 2020 and with our,6,26,diff,empty,,
help eight more production lines will be installed by mid2022,24,26,diff,empty,,
Additionally were working together to develop ARMIs new Digital,12,11,diff,,,
A site for innovation and learning the Center will educate both ARMI,2,3,diff,,,
members and Rockwell customers about smart manufacturing and,15,15,,,,
Protecting the health and safety of our employees comes first,9,6,diff,,,
continued to work more safely with another year of,2,26,diff,empty,,
of how we took care of each other and how we found,10,26,diff,empty,,
new ways to work together and serve our customers,15,26,diff,empty,,
A global health crisis the COVID19 pandemic has been one of,5,6,diff,,,
the most difficult challenges faced in our lifetimes From the,9,26,diff,empty,,
start our global management and response team in tandem with,5,5,,,,
business functional and regional leaders have closely monitored,3,26,diff,empty,,
developments Weve followed US Centers for Disease Control and,2,26,diff,empty,,
World Health Organization guidelines along with local and regional,2,6,diff,,,
mandates With input from our medical consultant weve responded,12,26,diff,empty,,
Because we all have a role in protecting the health and safety,9,6,diff,,,
of ourselves each other and our communities we encouraged,10,26,diff,empty,,
everyone to get a COVID19 vaccine as they became available The,2,26,diff,empty,,
scientific community has declared vaccines safe and the most,14,10,diff,,,
effective means to keeping people healthy and to enabling us to return to more inperson interactions,2,26,diff,empty,,
Our 027 Recordable Case Rate RCR per 100 employees remained bestinclass as compared to industry performance,11,8,diff,,,
We tried to make it as easy as possible for our employees to get,8,26,diff,empty,,
vaccines including providing an additional eight hours of paid time,11,26,diff,empty,,
off to schedule a vaccine appointment We hosted onsite vaccina,2,26,diff,empty,,
tion clinics and provided transportation to clinics in India Mexico,2,17,diff,,,
and the Dominican Republic To increase vaccine rates in the US,16,26,diff,empty,,
where a large population of our employees work we provided a,11,26,diff,empty,,
200 discount on 2022 medical premiums to vaccinated partici,2,26,diff,empty,,
Recordable workrelated injury or illness requiring more than first aid,9,9,,,,
India COVID19 relief efforts We have 1500 employees in India a country that was,9,26,diff,empty,,
especially hard hit with a surge in COVID19 infections in,18,26,diff,empty,,
April 2021 As oxygen therapy emerged as a primary treatment,6,20,diff,,,
method we provided 25 oxygen concentrators for our employees,9,26,diff,empty,,
and their families to use Additionally we donated 40000 to,2,26,diff,empty,,
the United Ways India COVID19 fund to help provide medical,2,26,diff,empty,,
beds and BiPAP machines We also invested in charitable,2,26,diff,empty,,
Audits drive continuous improvement Even though most of us worked differently or,0,19,diff,,,
remotely in 2021 we continued to use best practices,12,11,diff,,,
compliance audits at all our locations to confirm,0,0,,,,
In November we started to require US employees,11,26,diff,empty,,
contractors and visitors to be fully vaccinated or undergo,2,26,diff,empty,,
weekly COVID19 testing when onsite at our locations,24,26,diff,empty,,
or when required to meet with customers As the risk,18,12,diff,,,
of COVID19 became more serious with the rise of new,18,26,diff,empty,,
variants we also required everyone to wear masks when,9,26,diff,empty,,
onsite regardless of vaccination status to help reduce,2,26,diff,empty,,
transmission Were proud that as of December 2021 more,12,26,diff,empty,,
than 80 of our US employees are fully vaccinated,2,26,diff,empty,,
Were taking the best of what we learned about new,2,26,diff,empty,,
ways of working to support our employees as we move,11,11,,,,
forward in 2022 As conditions allow weve been excited,12,11,diff,,,
to welcome employees back to our locations While we recognize productive work can be done in many places,11,26,diff,empty,,
based on the number of employees work performed,11,26,diff,empty,,
and risk In 2021 we conducted 33 audits of our largest,18,12,diff,,,
locations We also had 10 inspections from outside,0,26,diff,empty,,
interactions while also providing the flexible work options,8,26,diff,empty,,
We prioritize our environmental and safety management system certifications on,9,9,,,,
manufacturing sites with 25 or more employees who perform productionrelated,11,15,diff,,,
activities With this criterion sites may be required to achieve certification or may,12,26,diff,empty,,
drop from inclusion over time We modified how we count locations where a complex,8,7,diff,,,
of buildings that were once individually certified are now considered as one certified,14,26,diff,empty,,
location Our thirdparty auditor Det Norske Veritas concurs with our program and,12,26,diff,empty,,
criteria Currently we have 16 manufacturing locations certified to ISO 14001 and ISO,14,15,diff,,,
45001 which covers all our inscope sites Additionally weve committed to certifying,12,26,diff,empty,,
two manufacturing sites Artegna Italy and Devens Massachusetts from recent,15,15,,,,
acquisitions by 2024 An additional four independent locations are certified,6,26,diff,empty,,
Our new Hybrid Workplace Option provides a voluntary option for those employees in the US Puerto Rico,8,8,,,,
Well continue to evaluate where and how work can be done,12,26,diff,empty,,
with employee health and safety a top consideration Were,9,9,,,,
Canada Mainland China and Hong Kong who have roles,12,26,diff,empty,,
confident that by working together and taking additional,12,11,diff,,,
where they can work effectively both at their work location,15,26,diff,empty,,
steps to protect each other we can help our company,10,26,diff,empty,,
and remotely With this option employees who spend more,11,26,diff,empty,,
than 50 of their time at their primary locations have the,8,26,diff,empty,,
flexibility to work remotely the remainder of the work week,11,3,diff,,,
Our Asia Pacific Business Center APBC and Poland Environmental Health and Safety teams,9,9,,,,
each won awards from regional safety organizations in 2021,14,6,diff,,,
For the 10th year the Ministry of Manpower and Workplace Safety and Health Council honored,9,9,,,,
our APBC located in Singapore This year the organization recognized us with the Workplace,8,8,,,,
Safety Health Silver Award In Poland we received first place in the Health and Safety The,14,6,diff,,,
Best Employer Advisor competition organized by the Regional Labor Government Inspector and,4,11,diff,,,
Additionally a safety project at our Jundia Brazil plant won first place in the Thermal Category of the DuPont Awards for Occupational Safety and Health This award recognizes that we replaced our flameproof protective garments with a new customized suit that reduces the burn rate from 53 to 21 and increases the chances of survival from 45 to 805,9,9,,,,
We take a holistic view toward employee wellbeing encompassing physical mental emotional and financial health,9,9,,,,
higher levels of burnout while 40 reported declines in worklife,9,26,diff,empty,,
balance Our own Global Voices annual employee engagement,8,8,,,,
survey echoed those findings Wellbeing and balance surfaced,9,26,diff,empty,,
as critical priorities as our employees faced multiple demands at,9,26,diff,empty,,
work home from customers and in their communities,10,26,diff,empty,,
Because its important we help each other balance these,12,26,diff,empty,,
demands were always evaluating how to further enhance,12,26,diff,empty,,
our benefit offerings and other programs to support,12,26,diff,empty,,
employee wellbeing In late 2021 we announced new and,9,8,diff,,,
for our health benefits with the flexibility to care for their,2,11,diff,,,
We added a new Caregiver Leave benefit that provides up to two weeks paid time off to eligible employees to care for,11,26,diff,empty,,
The new Caregiver Leave policy is in addition to paid time off for parental leave We also expanded our Parental Leave benefit from four weeks to six weeks paid time off,11,12,diff,,,
Earlier in the year we added a free premium member,12,26,diff,empty,,
ship to Calm a leading app for sleep meditation and,2,26,diff,empty,,
also available to employee family members is part of,8,8,,,,
the holistic benefits and programs we offer to support,2,11,diff,,,
employee wellbeing including a free global and confi,9,8,diff,,,
Pandemic prompts parents and caretakers to form new employee resource group Even before the pandemic upended our lives parents,5,8,diff,,,
and caretakers felt the squeeze of balancing jobs and families Almost overnight some employees were juggling parenting work and schoolsometimes with everyone at the same kitchen tablewhile others were trying to look after older relatives To create a community of support and resources a group of employees formed our Parents CareTakers PaCT Employee Resource Group ERG,2,8,diff,,,
PaCTs mission is to act as an advocate and change agent for working parents and caretakers increasing visibility to their challenges and removing barriers In its first year PaCT initiated the effort to add breast milk shipping as a reimbursable benefit for Rockwell employees traveling overnight for business According to the annual Society for Human Resource Management SHRM Benefits Survey we are one of only a small percentage of companies that offer this benefit,2,11,diff,,,
With more than 250 global members PaCT is our newest of 14 ERGs Overall we have 61 ERG chapters across 21 countries with more than 6000 members,8,26,diff,empty,,
We also created a Balance Resources information hub with quizzes webinars,12,26,diff,empty,,
Lunch Learns videos podcasts and links to books articles and more information,2,26,diff,empty,,
Seeking to destigmatize mental health many of our employees shared stories about,9,9,,,,
their personal challenges and how theyre trying to find balance,10,26,diff,empty,,
A healthy balance is a key way to show each other we carethat we see one another,9,26,diff,empty,,
as whole individuals with vibrant and dynamic lives and recognize that each of us have,10,26,diff,empty,,
had different experiences over the past two years Through our Global Voices survey,8,26,diff,empty,,
one of our most important checkpoints for feedback we listened and we heard,12,26,diff,empty,,
our employees We added Support Balance for Everyone as part of the values and,10,0,diff,,,
behaviors outlined in our 2022 Strategic Framework which is our company roadmap,3,26,diff,empty,,
The roadmap starts with culture signi fying culture is foundational to all we do,8,8,,,,
everyone can and wants to do their best,10,26,diff,empty,,
This is a common refrain for us but its,4,26,diff,empty,,
so much more than a platitude Our four,4,26,diff,empty,,
life Culture is our way of doing things,8,8,,,,
us around the world Its how we show,3,26,diff,empty,,
Strengthen our commitment to integrity diversity and inclusion,8,7,diff,,,
Be willing to compare ourselves to the best alternatives,4,26,diff,empty,,
opportunity to have a great day every day And,2,26,diff,empty,,
Global Market Access is one of 400 global,4,26,diff,empty,,
after the past two years there was no better time,12,26,diff,empty,,
for us to come together to define what a great,23,26,diff,empty,,
said The most gratifying thing is witnessing how,4,26,diff,empty,,
day looks like and how to have more of those together To do that we launched our Culture Workshops in June 2021 These new workshops connect a crosssection of employees to explore as a group why culture matters what we can do,8,8,,,,
each one of them impacts our culture through,8,8,,,,
Our goal is to have all our 24500 employees,11,26,diff,empty,,
and how each of us plays an important role in our,10,26,diff,empty,,
complete the Culture Workshops by the end of,2,8,diff,,,
2022 and to integrate the workshops into our,2,26,diff,empty,,
and helping to shape our own employee path,8,8,,,,
A critical part of our culture is our commitment to diversity equity and inclusion DEI,8,8,,,,
to do more and act faster In 2021,12,26,diff,empty,,
We named Bobby Griffin as our first Chief Diversity Equity and Inclusion Officer He brings more than 25 years of diversity and,8,7,diff,,,
leaders to develop customized plans for each of their business units and functional,3,26,diff,empty,,
areas to attract develop and retain diverse talent at all levels including key roles,8,8,,,,
We started a formal Sponsorship Across Difference program in which each of our 300 directors vice presidents and senior vice presidents was asked to initiate,7,26,diff,empty,,
a sponsorship relationship with at least one employee below the director level of,8,7,diff,,,
SVP of Lifecycle Services and AAPN executive sponsor and Lucia Loza,15,26,diff,empty,,
a different gender race or ethnicity Unlike mentors who advise sponsors act,8,26,diff,empty,,
US Race Ethnicity FY21 BASED ON 8K US EMPLOYEES,8,26,diff,empty,,
n n 10 Asian n 5 Latinx n 75 White n,8,26,diff,empty,,
Company honors Several organizations recognized our continued efforts to build,12,26,diff,empty,,
a diverse equitable and inclusive workforce and culture,8,8,,,,
DiversityInc named us to its Noteworthy Companies for Diversity,8,6,diff,,,
list for the fourth consecutive year and to its Top Companies for,18,26,diff,empty,,
Employee Resource Groups list for the first time ranking us 15th,8,8,,,,
