paragraph,predict_label,count,different,empty,diff rate,empty rate
Over the past decade Google purchased more renewable energy than any other company6 From 2010 to 2021 we purchased a total of more than 73 million MWh of renewable energy through PPAs via onsite generation and from the electric grids where our facilities are located7,24,24,,,,
From 2010 to 2021 we made commitments to invest nearly 33 billion in renewable energy projects with an expected combined capacity of approximately 87 GW These targeted investments go beyond our purchases of renewable energy for our own operational footprint,24,24,,,,
From 2010 to 2021 we signed more than 60 agreements totaling more than 7 GW of renewable energy Over that period weve committed approximately 6 billion to purchase clean energy from wind and solar projects globally through 20405,24,24,,,,
From 2011 to 2021 our renewable energy purchasing resulted in a cumulative 65 reduction in our Scope 1 and Scope 2 emissions as compared with a businessasusual scenario in which we didnt procure renewable energy via PPAs,24,24,,,,
From 2011 to 2021 our carbon intensity per unit of revenue decreased by 81,12,21,diff,,,
Google has been carbon neutral for our operations since 2007 Because of our purchases of renewable energy and procurement of highquality carbon credits we have compensated for all our operational GHG emissions,25,21,diff,,,
26 of our LEEDcertified square footage has achieved a Platinum rating and 60 a Gold rating,12,26,diff,empty,,
In 2021 we reached a 64 landfill diversion rate for waste from our offices globally,19,19,,,,
of native habitat on our Bay Area campuses,23,23,,,,
From 2014 to 2021 we restored and created 15 acres of native habitat on our Bay Area campuses to support wildlife and our communities,23,23,,,,
From 2009 to 2021 over 17 million m2 18 million ft2 of Google office facilities achieved LEED certification,2,26,diff,empty,,
We have nearly 4000 EV charging ports at our offices in the United States and Canada,24,26,diff,empty,,
In 2021 alone Nest thermostats helped customers save more than 21 billion kWh of energymore energy than Google used in 2021,24,24,,,,
On average Nest thermostats have proven energy savings of 1012 for heating and 15 for cooling9 which means they can pay for themselves in under two years10,24,24,,,,
In 2021 we offered our takeback program in all countries where we ship Google consumer hardware products allowing customers to responsibly recycle old and unused devices for freewhether made by Google or not,15,26,diff,empty,,
By the end of 2021 nearly 42000 cities and regions worldwide were covered by the Environmental Insights Explorer a tool that empowers city planners and policymakers with actionable data to help reduce global emissions,25,9,diff,,,
Earth Engine has enabled tens of thousands of active users around the world to easily analyze over 52 petabytes13 of freely available geospatial information resulting in a deeper understanding of the planet,1,26,diff,empty,,
All shipments of Google consumer hardware products to and from direct customers are carbon neutral and have been since 20198,15,21,diff,,,
of Nest and Pixel devices contain recycled materials,15,26,diff,empty,,
All Nest and Pixel devices launched since 2020 include recycled materials11,15,26,diff,empty,,
From 2011 to 2021 Nest thermostats helped customers cumulatively save more than 86 billion kWh of energy enough to power all of San Franciscos electricity consumption for over 17 years,24,24,,,,
recycled aluminum in the housing of the Pixel 6 and Pixel 6 Pro,19,26,diff,empty,,
Pixel 6 and Pixel 6 Pro are designed with recycled aluminum to reduce their carbon footprint The aluminum in the housing is 100 recycled content12,15,24,diff,,,
By the end of 2021 Google Maps contained nearly 200000 EV charging locations globally,24,26,diff,empty,,
Google Maps provides on average more than 1 billion kilometers 621 million miles worth of transit results per day helping to limit carbon emissions by giving people access to mass transit options bike routes and traffic information,24,21,diff,,,
In 2021 11 organizations across Europe were selected to receive Googleorg funding via the Impact Challenge on Climate which provided 10 million to fund bold ideas that use technology to accelerate Europes progress toward a greener more resilient future,3,10,diff,,,
As a datadriven company we believe it is critical to regularly track progress,18,26,diff,empty,,
toward our commitments and share updates with our stakeholders The,10,4,diff,,,
following section provides an overview of our 2021 progress toward our,10,26,diff,empty,,
For a more complete overview of our performance over time see the,18,8,diff,,,
Maintain or improve average annual fleetwide PUE across Google data centers year over year,18,22,diff,,,
In 2021 the average annual PUE for our global fleet of data centers was 110 Since 2012 our average annual fleetwide PUE has stayed at or below 112 even as demand for our products has dramatically risen,15,4,diff,,,
Maintain ISO 50001 energy management system certification for Googleowned data centers that meet certain operational milestones,24,11,diff,,,
In 2021 we maintained our ISO 50001 certification for our operational European data centers We were the first major internet company to achieve a multisite energy management system certification to ISO 50001 which we first attained in 2013,14,11,diff,,,
Achieve Zero Waste to Landfill for our global data center operations,19,19,,,,
In 2021 our global landfill diversion rate for data center operations was 78,19,22,diff,,,
Replenish 120 of the water we consume on average across our offices and data centers and help restore and improve the quality of water and health of ecosystems in the communities where we operate,20,20,,,,
Were working toward this target By the end of 2021 we had supported 13 water stewardship projects spanning 10 river basins where we operate andor source water Examples of these projects include wetland restoration rainwater harvesting and land conservation,20,20,,,,
Match 100 of the electricity consumption of our operations with renewable energy purchases,24,24,,,,
In 2021 we purchased enough renewable energy from sources such as wind and solar to match 100 of the electricity consumption of our data centers and offices We were the first company of our size to reach this milestone back in 2017 and weve achieved it for five consecutive years14,24,24,,,,
In 2021 on an hourly basis 66 of our data center electricity use was matched with regional carbonfree sources15,24,22,diff,,,
Enable 5 GW of new carbonfree energy through investments in our key manufacturing regions by 2030,24,15,diff,,,
Achieve netzero emissions across all of our operations and value chain including our consumer hardware products by 2030,15,21,diff,,,
Were working toward this target We aim to reduce the majority of our emissions versus our 2019 baseline before 2030 and plan to invest in naturebased and technologybased carbon removal solutions to neutralize our remaining emissions,25,21,diff,,,
In 2021 we purchased enough renewable energy and high quality carbon credits to compensate for all our operational GHG emissions Google has been carbon neutral for our operations since 2007for 15 consecutive years16,25,21,diff,,,
Reduce singleoccupancy vehicle commuting at our Bay Area headquarters17 to 45 of workers commuting on any given day,11,26,diff,empty,,
Provide EV charging stations for 10 of total parking spaces at our Bay Area headquarters,24,26,diff,empty,,
Of the total parking spaces at our Bay Area headquarters more than 7 were designated EV parking spaces with charging stations in 2021,24,26,diff,empty,,
Pursue the ILFI Living Building Challenge Certification for our Charleston East and Bay View campusestwo of Googles first groundup development projects at our Bay Area headquarters,3,4,diff,,,
At our Charleston East campus were working to achieve the Living Building Challenge Materials Petal which includes Red List Free materials and netzero waste and at our Bay View campus were working to achieve the Living Building Challenge Water Petal which includes netpositive water use,19,11,diff,,,
Reduce food waste per Googler by 50 by 2025,19,19,,,,
Send zero food waste to the landfill by 2025,19,19,,,,
Publish product environmental reports for 100 of new flagship consumer hardware products19,15,9,diff,,,
We published product environmental reports for each of our flagship Nest and Pixel products that launched in 2021,15,9,diff,,,
Use recycled or renewable material in at least 50 of plastic used across our consumer hardware product portfolio by 202520,15,26,diff,empty,,
Eliminate plastic from packaging and make packaging 100 recyclable by 2025,15,14,diff,,,
Include recycled materials in 100 of Google consumer hardware products launching in 2022 and every year after,15,26,diff,empty,,
Achieve UL 2799 Zero Waste to Landfill certification at all final assembly consumer hardware manufacturing sites by 2022,19,15,diff,,,
In 2021 we used recycled content across numerous plastic parts in Nest and Pixel products21,15,26,diff,empty,,
In 2021 we designed Nest and Pixel packaging to minimize the use of plastic The retail packaging for the Pixel 6 Pixel 6 Pro and Pixel 5a 5G use 98 paper and fiberbased materials,15,14,diff,,,
We met this target early All Nest and Pixel devices launched since 2020 include recycled materials22,15,26,diff,empty,,
In 2021 we achieved certification to the UL 2799 Zero Waste to Landfill certification standard for several final assembly manufacturing sites,19,15,diff,,,
Help more than 500 cities and local governments globally reduce an aggregate of 1 gigaton of carbon emissions annually by 2030,25,21,diff,,,
Help 1 billion people make more sustainable choices through our core products by 2022,15,26,diff,empty,,
In 2021 over 40 cities used the Environmental Insights Explorer tool in their climate action planning or for monitoring city climate targets,13,25,diff,,,
Were working toward this target In 2021 we shared several new ways people can use Google productssuch as Google Flights Google Maps Google Search and Google Shoppingto make more sustainable choices,15,11,diff,,,
The following table provides an overview of our performance over time and,18,8,diff,,,
includes both environmental data for our global operations including our data,22,22,,,,
centers offices networking infrastructure and other facilities and data beyond,1,20,diff,,,
our operations including our investments and technology The majority of our,3,26,diff,empty,,
environmental data covers Alphabet Inc and its subsidiaries including,22,9,diff,,,
Google LLC All reported data is global and annual unless otherwise specified,22,22,,,,
We obtain thirdparty assurance from an independent accredited auditor for,12,26,diff,empty,,
specific environmental data as part of our Independent Accountants Review,22,9,diff,,,
including select GHG emissions energy and water metrics as indicated in the,25,20,diff,,,
For more information on our energy use and GHG emissions see Alphabets,25,21,diff,,,
CDP Climate Change Response on Googles sustainability reports page,13,0,diff,,,
Scope 3 business travel and employee commuting including teleworking32,11,8,diff,,,
Total Scope 1 2 marketbased and 3 total,4,26,diff,empty,,
Scope 1 2 marketbased and 3 business travel and employee commuting including teleworking,11,8,diff,,,
Scope 1 2 locationbased and 3 business travel and employee commuting including teleworking,11,8,diff,,,
Total emissions reduced by renewable energy PPAs and compensated for by carbon credits,25,21,diff,,,
Total operational GHG emissions after emissions reductions and compensations38,25,21,diff,,,
Average annual fleetwide PUE across Google data centers,18,22,diff,,,
Components used for server upgrades that were refurbished inventory,15,26,diff,empty,,
EV charging ports at offices in the United States and Canada cumulative51,24,26,diff,empty,,
Emissions avoided due to employee EV commuting in the United States and Canada52,21,8,diff,,,
Employee shuttle commuting trips in the Bay Area53,11,8,diff,,,
Employee shuttle riders in the Bay Area peak daily54,9,8,diff,,,
Emissions avoided due to employee shuttle trips in the Bay Area55,21,8,diff,,,
Native trees planted on our Bay Area campuses cumulative,23,26,diff,empty,,
Native habitat restored and created on our Bay Area campuses cumulative,23,23,,,,
Cities and regions covered by the Environmental Insights Explorer cumulative5960,3,9,diff,,,
Household energy saved by Nest thermostat customers cumulative,24,24,,,,
