paragraph,predict_label
to sustainability and management of,3
The Chief Sustainability Officer CSO,3
provides updates to the committee at,12
least annually Additionally the committee,12
assists the Board in overseeing our,7
safety strategies and programs and,14
The Compensation and Human Resources,10
Committee oversees and discusses with,12
management our diversity equity and inclusion,8
DEI workforce enterprise health care and,9
other key human resource management,10
The Audit Committee evaluates the execution,12
and effectiveness of our corporate integrity,0
and compliance programs and discusses,12
and disclosures as well as alignment of,12
financial reporting and ESG disclosures and,12
internal controls and procedures related to,0
The Cyber and Technology Oversight,0
Committee evaluates and discusses with,12
management the companys cyber and,1
technologyrelated risks and the mechanisms,18
for managing and mitigating such risks in,18
In 2021 the Board oversaw planning for the announcement of our goal to achieve carbon,12
neutral operations the distribution of COVID19,4
vaccines and the continued rollout of safety,14
enhancements across the enterprise in addition to,12
monitoring and discussing other key ESG priorities,3
We employ an Enterprise Risk Management,18
ERM program that provides a common,12
framework for identifying and evaluating top risks,18
business against future risks Additionally we,18
have incorporated an evaluation of ESG risks,18
including climate change societal risks and other,13
critical risksinto our ERM process,18
across our business operations This includes ESG,3
To ensure we deliver value to our business and,3
topics which could create longterm risks for the,18
our stakeholders we conduct regular ESG,10
company Through our ERM programs senior,2
leadership teams at each major operating,8
company submit feedback using a consultative,12
approach We identify and classify risks into five,18
Financial and Compliance Risks are prioritized,18
based on potential financial impact likelihood of,12
occurrence within the upcoming fiscal year and,12
materiality assessments most recently in 2019,18
Our priority topics inform our global ESG,3
approach help us define and prioritize risks and enable us to set robust but achievable goals,18
amount of residual risk to the enterprise Our ERM,18
team evaluates and finalizes identified risks and,18
shares key risks with both the Board of Directors,7
and the Audit Committee at least once per year,12
with significant changes shared quarterly We,12
understand that risks to our business are,18
continuously evolving and we routinely review our,12
risk management processes to enhance our,18
O U R P R N C,12
FedEx Code of Conduct and global compliance policies,0
Our global tax function is an integral part of our,12
The FedEx Code serves as the foundation of our,12
business operations Our business choices,3
corporate integrity and compliance program and,0
maximize the longterm value of our company,3
applies to every FedEx officer director and,7
and deliver superior service to our customers Our,15
employee The Code covers a breadth of topics,8
tax department works closely with our business,12
including workplace health safety and,9
groups to achieve our objectives while complying,12
environment international trade controls human,12
with tax obligations around the world in,12
rights including human trafficking money,10
accordance with applicable laws and regulations,12
laundering prevention equal opportunity and,8
With the FedEx Code and our brand reputation at,3
antiharassment conflicts of interest improper,0
our core our global tax function works to achieve,12
payments and bribes fraud and insider trading,0
its objectives by hiring training and retaining,8
which provides program oversight strategic,12
entertainment and data security and privacy,1
antitrust and anticompetition gifts and,0
worldclass tax professionals as well as consulting,12
with outside experts We believe in transparency,0
in our approach to tax and seek to foster open,12
We have additional policies that specify our,12
and constructive relationships with tax authorities,12
Trust and reliability are critically important to our,0
stakeholders and each of our team members,10
earns this trust by delivering on the Purple,4
Promiseto make every FedEx experience,3
outstanding The FedEx Board of Directors and,7
management teams are dedicated to maintaining,8
our strong culture of ethics integrity and,0
reliability Our Board has delegated to its Audit,12
Committee the responsibility to oversee the,12
companys compliance and ethics programs,0
including the Code of Conduct Code enterprise,0
compliance policies and the FedEx Alert Line,0
Our Chief Compliance Officer leads our,12
Corporate Integrity and Compliance department,0
direction and resources to team members across,10
the enterprise Each FedEx operating company is,4
responsible for implementing and maintaining,12
compliance with regional and sectorspecific,12
requirements and expectations on a range of,12
integrity and compliance matters We routinely,0
review and update these policies when we identify,12
the need for employee clarification the emergence,8
of new laws or regulations or other factors,12
representatives from Corporate Integrity and,0
Compliance Legal Human Resources HR,12
Communications Security Internal Audit and,1
around integrity and compliance programs The,0
Compliance Council meets quarterly to discuss,12
new compliance initiatives emerging risks,12
In 2021 we received the Compliance Leader,12
Verification designation from Ethisphere in,12
recognition of our bestinclass ethics and,0
We are also committed to protecting and,10
advancing human rights in all of our operations,10
around the world We prohibit the use of child,11
compulsory or forced labor and have zero,11
tolerance for slavery and human trafficking,10
Compliance website features our Code and global policies providing employees customers,12
and other stakeholders access to our key,2
We provide interactive education on Code topics,2
to new and existing team members In FY21,7
98 of employees completed assigned,11
compliance education Depending on their,12
responsibilities and the associated risks they,18
face team members may receive more targeted,4
We constantly reinforce our Code principles with,12
targeted compliance communications through a,12
variety of channels including emails newsletters,22
videos and digital signage We also conduct an,15
annual survey with officers directors and senior,7
managers across our enterprise to gauge,3
awareness of and compliance with the Code,12
O U R P R N C,12
Risk assessments gauging effectiveness and measuring ethical culture,0
We conduct comprehensive compliance risk,0
reporters identified themselves which is,4
approximately 18 higher than the standard,12
industry benchmark We closed out more than,18
13300 of the reports and resulting actions,12
included team member discipline coaching,8
assessments at our operating companies with,18
training termination and contract termination,11
a focus on core compliance risks The risk,18
assessments include extensive participation by,12
our business partners and result in detailed,3
mitigation plans for identified risks The results are,18
reported to our Audit Committee and included,12
in our ERM process We also regularly gauge the,12
effectiveness of our compliance programs and,12
measure our ethical culture through integrity,0
surveys distributed to all team members,11
We promote accountability by encouraging our,0
team members to report concerns or questions,9
to their manager HR Legal Security or the,1
FedEx Alert Line which is available 247 in more than 35 languages FedEx prohibits retaliation,0
against anyone who reports a known or,0
suspected violation in good faith,0
Global Antitrust Competition Law Policy,4
Policy Prohibiting Trafficking in Persons,10
Global Conflicts of Interest Policy,12
Global Gifts and Entertainment Policy,12
In FY21 we received more than 14000 reports,12
and inquiries from team members customers,22
and the general public on issues such as,12
employee relations safety conflicts of interest,9
business ethics and fraud Nearly 60 of the,0
O U R P R N C,12
We recognize the importance of protecting the,23
privacy of our customers vendors and team,22
members and we deliver on this commitment,10
by proactively ensuring a safe and secure online,1
environment With the increasing presence and,23
sophistication of online threats we must ensure,1
continuous improvement to protect our,10
The Cyber and Technology Oversight Committee,1
of the FedEx Board is responsible for reviewing,12
the management and mitigation of our cyber and,1
technologyrelated risks and discussing these,18
initiatives with leadership Our Global Privacy,1
Office regularly reviews our practices and policies,12
to ensure we maintain compliance with all relevant,12
regulations across our operating companies Our,12
Internal Audit team also conducts periodic audits,0
of our Privacy Compliance Program to ensure our,22
Educating our team members is critical to our,8
cybersecurity process and we provide annual,1
information security and data privacy trainings,1
These courses address a range of topics,2
including awareness regarding social engineering,10
cybercrimes and data protection We also,1
conduct periodic phishing tests to ensure our,1
team members are aware of and can recognize,10
The FedEx Trust Center website provides more,22
information on how we protect customer privacy,22
along with resources to help our customers submit,22
data subject access requests and identify report,22
and mitigate risks in the ecommerce market,18
Our Corporate Integrity and Compliance department hosted our third annual FedEx,0
Data Privacy Day in January 2022 The event was held virtually and welcomed all FedEx,1
employees in Asia Europe North America South America Australia and Africa to learn,8
more about privacy and how we manage data The event kicked off with a keynote speech,1
from the CEO of FedEx Dataworks In total more than 1800 employees attended the event,8
O U R P R N C,12
We have a strong interest in public policy and,12
issues that affect the global economy our,18
business and our customers FedEx ethically,0
and responsibly supports policies that promote,12
the economic future of our customers team,15
members investors and businesses The Board,7
has delegated responsibility to its Governance,12
Safety and Public Policy Committee for reviewing,12
and discussing with management i public,12
policy political and legislative trends and,12
matters that affect or may affect the companys,12
business performance strategies or reputation,3
ii the companys political activities and,4
Around the world and within the US we,10
advocate for public policies that encourage free,12
trade support solutions that address trade,18
barriers and enable FedEx to connect the world,10
in resourceful and responsible ways We continue,10
to support legislation at the state and federal,12
levels to optimize the efficiency sustainability,24
safety and capacity of our transportation,9
system We also support policies regarding,12
tax policy deployment of autonomous delivery,12
devices modernized truck regulations and,12
infrastructure and increased access to,2
participation in the political process including,10
Governance Safety and Public Policy Committee charter,12
direct and indirect political spending and,12
lobbying activities and expenditures iii the,12
companys contributions to trade associations,12
and other taxexempt organizations that engage in political activities iv steps management has,12
taken to identify assess and manage risks,18
relating to political activities and expenditures,12
and v the companys reporting of its political,12
We are subject to extensive regulation at,12
the federal and state levels and enact policies,12
to appropriately disclose our activities in,12
accordance with these regulatory requirements,12
O U R P R N C,12
As the profound impacts of the COVID19,3
pandemic continued through 2021 we worked,13
with our suppliers to keep health care and,9
industrial supply chains moving while meeting,17
the accelerating demand of the ecommerce,4
market According to analysis prepared by,18
Dun Bradstreet in FY20 we increased,18
spending across our US supply chain which,17
boosted national employment by supporting,11
Our FedEx Services Supplier Relationship,17
Management SRM team manages and,7
mitigates critical risks in our supply chain by,17
implementing consolidated policies and working,12
closely with our suppliers The SRM team also,17
requests for qualifications and proposals include,12
market access opportunities In FY21 our US,4
to help women and minorityowned businesses,8
collaborates with FedEx internal stakeholders to,12
operations acquired 187 billion in goods,12
develop and grow their ecommerce operations,3
advance diversity and sustainability throughout,8
we screened 94 of potential and current,8
and services from diverse and smallbusiness,17
The program includes grants and intensive,12
the value chain Our Sourcing Sustainability,17
Sourcingmanaged suppliers We continue to,17
suppliers with 10 spent with womenowned,17
handson learning and coaching opportunities,2
Impact Team SIT shares best practices and benchmarks findings to determine where we,18
include ESG criteria in all Sourcingmanaged supplier scorecards and we also include,17
businesses 19 with minorityowned businesses and 71 with small businesses,8
for 150 smallbusiness owners as well as digital learning opportunities to support more than,2
can improve Additionally we are founding,12
members of the Sustainable Purchasing,15
in environmental social labor and human,11
Leadership Council and as active members of,7
rights areas in our supplier contract language,17
their Strategic Advisory Committee we follow,12
We help women and minorityowned,8
businesses including many FedEx suppliers,17
succeed through the Global Entrepreneurship,8
pillar of our FedEx Cares program Our initiatives,12
guidance for sourcing criteria and sustainability,15
metrics across our operating companies,18
We strengthen and enhance our supply,17
provide diverse entrepreneurs with training,8
chain by sourcing from small and women and minorityowned businesses We also support,8
mentoring networking capital access and other resources to help grow their business and,2
All of our suppliers are expected to adhere to,17
the development of diverse suppliers through,17
navigate the challenges they face In 2021 we,18
the principles set forth in our Code of Conduct,0
alliance sponsorships participation in industry,12
launched the FedEx ECommerce Learning Lab,4
and aim to meet our ESG commitments Our,3
associations and by providing equitable,12
in collaboration with Accion Opportunity Fund,12
O U R P R N C,12
The FESC oversees various enterprisewide SITs,12
to accelerate sustainability efforts across our,15
enterprise Through collaboration and knowledge,2
sharing the SITs support our environmental,10
goals and coordinate sustainability efforts across,10
functional areas The SITs and senior sustainability,3
The Governance Safety and Public Policy,12
leaders from each operating company report,18
Committee of the FedEx Board oversees our,7
CSR goals strategies and programs and,10
manages sustainability risks with the support of the FedEx Enterprise Sustainability Council,18
FESC The FESC is responsible for the,12
of our various sustainability strategies,3
including operations services marketing and,4
communications Our CSO chairs the FESC,12
which is comprised of senior management,7
representatives from our operating companies,7
Governance Safety and Public Policy Committee charter,12
Strategic approach and climate change,13
Throughout FedEx our team members help,10
guide our strategy by applying our Reduce,18
Replace Revolutionize approach to current,3
REDUCE Reduce or eliminate impacts,12
REPLACE Use the right solutions in the,12
At FedEx we recognize that our business has,3
an impact on the environment and we remain,23
committed to minimizing these impacts Our,13
Practical Sustainability philosophy guides our,15
sustainability strategy through the lens of our,3
Our Practical Sustainability philosophy highlights,15
strategic and transformational stewardship that,3
can lead to longterm success innovation in,4
products and operations demand for solutions,15
and progress transparency This philosophy,0
in alignment with our regularly conducted,12
materiality assessments directs our environmental strategy,3
the technologies and solutions of,15
Our efforts aim to mitigate environmental impacts,23
increase efficiency reduce costs and protect,24
against future risks By implementing our Practical,18
Sustainability philosophy and our Reduce Replace,3
Revolutionize approach we bring value to our,4
organization and our stakeholders while making,10
strategic progress against our goals,3
Around the world FedEx is also working with the logistics industry and with the communities,10
we serve to move goods more sustainably and,15
design cities for a better future We collaborate,3
with nonprofit organizations that provide,2
innovative solutions to reduce the carbon,25
footprint of the transportation industry through,17
the Sustainable Logistics pillar of our FedEx,15
FedEx understands the impacts climate change,13
poses to our business such as intensifying,3
weather events emerging GHG emissions,25
regulations increased media and investor,12
attention and enhanced customer demands to,4
address environmental challenges While climate,13
change poses strategic risks to our business and,3
our stakeholders it also presents opportunities,10
approach with the recommendations from SASB,12
and TCFD This approach allows us to manage our risks while evaluating our progress towards,18
as we advance our sustainability strategy,3
We identify and evaluate physical and transition,4
climaterelated risks through our ERM process,13
and align our assessment and reporting,12
In March 2021 we announced our ambitious,12
goal to achieve carbon neutral operations by,24
2040 across our global operations Scope 1,3
and 2 emissions and our Scope 3 contracted,25
transportation GHG emissions To meet this goal,25
we are investing more than 2 billion over the,18
To help achieve carbon neutral operations we,24
to current airline emissionsapproximately one,21
have a goal to transition the entire FedEx parcel,18
gigaton per yearthrough shortterm medium,25
pickup and delivery PUD fleet to zero emission,21
term and ongoing research Once these,12
vehicles by 2040 through a phased approach,12
methods are proven the Center will broaden its,4
By 2025 we intend that 50 of FedEx Express,3
scope to address additional global sources of,23
PUD fleet purchases will be electric increasing,24
emissions to accelerate the adoption and,25
to 100 of all purchases by 2030,24
implementation of natural carbon capture,23
next several years to support bold action in three,10
We are accelerating our sustainable energy plan,24
key areas vehicle electrification sustainable,15
energy and carbon sequestration In addition we,24
continue to leverage other approaches to reduce,18
vehicle emissions such as increased intermodal,21
rail usage at FedEx Ground and FedEx Freight,24
which avoided nearly 600000 metric tons of carbon dioxide equivalent CO2e in FY21 alone Thanks to our ongoing collective emissions,25
reduction efforts we decreased carbon dioxide CO2 emissions intensityon a revenue basis by 45 from FY09 through FY21 a period when,25
within our facilities worldwide through energy,24
In April 2021 we issued the first sustainability,15
efficiency renewable energy and other energy,24
bond by a North American transportation and,12
management programs Our Energy SIT is,24
logistics company to further our commitment to,3
focused on developing a strategy to achieve,3
carbon neutrality Our 2021 sustainability bond,12
zero Scope 2 emissions by 2040 even though,25
framework aligned with the components of the,12
we anticipate that our facility electricity use will,24
Green Bond Principles the Social Bond Principles,10
increase as we transition to electric vehicles,24
and the Sustainability Bond Guidelines and we,12
Our path toward carbon neutral operations also,3
for any subsequent sustainability bond offerings,12
intend to follow these principles and guidelines,12
requires new strategies for removing and storing,19
Earths excess carbon In 2021 we pledged 100,25
our average daily package volumes grew by,24
million to help establish the Yale Center for,2
180 Additionally we are continuing to invest,12
Natural Carbon Capture This commitment,23
in initiatives such as the successful FedEx Fuel,12
Sense program aircraft fleet modernization,24
and alternative fuels to avoid aircraft emissions,21
encourages interdisciplinary research to create natural solutions for sequestering CO2 from the atmosphere Development of these solutions,25
falls into three major categories biological,23
geological and industrial The Centers initial,19
target is to help offset GHG emissions equivalent,25
Carbon neutral operations goal announcement,3
Our path to carbon neutral operations,15
Vehicle electrification We are leveraging various innovative technologies to transition our pickup and delivery and lastmile fleets to electric vehicles,24
2010 FedEx Express introduces the first allelectric parcel delivery truck in the US,19
2025 Goal 50 of global FedEx Express pickup and delivery vehicle purchases are zero emission electric vehicles,21
2030 Goal 100 of global FedEx Express pickup and delivery vehicle purchases are zero emission electric vehicles,21
2040 Goal 100 electric FedEx parcel pickup and delivery vehicle fleet,24
Sustainable fuels We support policy measures and incentives to enhance the availability and affordability of lowcarbon fuels,12
Fuel conservation and aircraft modernization We continue to modernize our aircraft fleet and implement fuelsaving initiatives while facing challenges due to the COVID19 pandemic,24
Facilities We are improving the efficiency of our facilities and reducing our Scope 2 emissions despite increased energy demand from electric vehicle charging,24
2021 50 of the diesel FedEx Ground sold to service providers in FY21 consisted of various biodiesel blends,24
2030 Goal 30 of jet fuel from alternative fuels,24
2006 Started the FedEx Fuel Sense jet fuel conservation program,24
2021 Saved 146 million gallons of jet fuel from initiatives to modernize aircraft,24
2022 Retire MD10 fleet and continue deploying Boeing ATR and Cessna SkyCourier aircraft,3
2005 Activated our first onsite solar power system a 904 kW rooftop solar array at our Oakland California hub,24
2021 Generated on and offsite solar energy at a total of 26 global locations across our operating companies,24
In 2021 FedEx pledged 100 million to help establish the Yale Center for Natural Carbon Capture which will support and accelerate research across academic disciplines to develop natural solutions for reducing atmospheric carbon,25
Electrifying a large portion of our global fleet,24
of over 200000 motorized vehicles is a crucial,15
component of our carbon neutral operations,15
goal Through our phased approach we are,12
revolutionizing our vehicle fleet by working to,15
transition the entire FedEx parcel PUD fleet to,24
zero emission vehicles by 2040,21
In 2021 FedEx Express agreed to acquire 500,18
electric vehicles from BrightDrop a new business,24
from General Motors and in January 2022,4
we expanded our agreement to acquire 2000,4
additional electric vans over the next several,24
years We are currently working on a plan to,12
add up to 20000 more subject to further,12
negotiations and execution of a definitive,12
purchase agreement Through our relationship,4
with BrightDrop we have also introduced electric pallets which in a pilot allowed couriers to handle,5
25 more packages per day when used on routes,24
in a highdensity vertical urban environment,20
Additionally FedEx Office and FedEx Freight,19
are exploring pilot programs to electrify their,12
vehicle fleets continuing along the path toward,24
carbon neutral operations FedEx Ground,4
is developing a comprehensive strategy to,12
facilitate the electric vehicle transition for,24
independent service providers and is piloting,12
the necessary infrastructure at our facilities to,2
provide access to thirdparty charging solutions,24
To advance progress towards our electrification,12
goal and enhance our intelligent logistics system,15
we leverage advanced technology to increase,1
vehicle efficiency We utilize innovative specialty,24
delivery technologies to work within urban,15
centers which are increasingly implementing,2
regulations to reduce the number of vehicles or,12
create lowemission zones Roxo the FedEx,12
SameDay Bot is an autonomous delivery device,1
designed to help retailers make ondemand,15
sameday and lastmile deliveries to their,24
customers and is approved for use in over a,15
dozen states We have entered a multiyear,12
collaboration with Nuro to test multistop and,4
electric vehicles Additionally we announced a,24
firstofitskind collaboration with Aurora and,12
PACCAR to test autonomous driving technology,24
within FedEx linehaul trucking operations,17
In Europe through our Zero Emission City,21
Deliveries Solutions program we have deployed,15
70 solutions to increase mobility options for,24
deliveries in urban centers including electric,24
vehicles and cargo bicycles In China FedEx,19
Express is working with Neolix to evaluate the,2
implementation of an autonomous electric,24
delivery vehicle Additionally our growing,15
fleet of electric bikes reduces noise levels,21
and combustion engine exhaust compared,21
to traditional lastmile vehicles In some,6
international cities such as London and Toronto,12
electric bikes are directly replacing our vans,24
In addition we continue to electrify forklifts,24
airport ground service equipment and other,5
nonroad vehicles across our operating,24
companies Through our phased approach we,12
are reducing fuel and maintenance costs and,24
anticipate improving our efficiency even further,24
Before our purchased electric vehicles are,24
deployed we must ensure the necessary vehicle,5
charging infrastructure and technology is in place,24
at our facilities Building this infrastructure,2
requires significant time and capital but the,18
commitment of our team members to our,10
collaboration with power utilities state and local,12
strategic approaches to overcome this challenge,3
to reduce our lastmile emissions and in FY20,25
Learn more about our roadmap to reduce,12
we launched the Last Mile Optimization program,24
emissions given our increased electricity demand,24
to deliver certain FedEx Express packages,22
Roxo the FedEx SameDay Bot,4
in the Facilities section of this chapter,20
through FedEx Ground Through FY21 FedEx,3
Express improved vehicle fuel efficiency by 42,24
governments and regulatory agencieswill help,12
Our vehicle electrification strategy builds upon,24
from a 2005 baseline and has a goal to achieve a,12
us stay on track to deliver on our broader low,3
FedEx Express fuel efficiency improvements,24
carbon infrastructure solutions While our,1
achieved by optimizing driving routes and,24
electricity usage will significantly increase due to,24
replacing vehicles within our fleet with more,24
50 improvement by 2025 Looking forward,12
we are focusing on enhancing our fleet fuel,24
efficiency and avoiding fuel use through the,24
electric vehicle charging we are developing,24
efficient models We are using other approaches,4
We continue to invest in and seek the,12
development of viable costeffective alternative,17
fuels to reduce aircraft and vehicle emissions We,24
collaborate with industries government agencies,12
academic institutions and alternative fuel,12
suppliers to advance production and encourage,17
the adoption of alternative fuels to help,24
revolutionize the logistics and aviation industries,15
Our global fleet includes more than 4100,15
alternative fuel vehicles including hybrid electric,24
liquefied or compressed natural gas liquefied,25
petroleum gas and hydrogen fuel cell vehicles,25
and we will continue to grow our alternative fuel,24
fleet in the coming years subject to availability,24
FedEx jet fuel use accounts for around 61 of,24
our reported emission footprint and we have an,21
established goal to obtain 30 of our jet fuel from,24
alternative fuels by 2030 To help achieve this,24
goal we support responsible policies to advance,12
alternative fuel technologies for the commercial,24
transportation sector This advocacy work is,12
focused on supporting incentives that accelerate,12
sustainable aviation fuel production and making,24
lowcarbon fuel more available and affordable for,24
airlines general and business aviation and other,21
users Enhanced sustainable aviation fuel,24
production and deployment would enable the,15
aviation industry to continue its progress in,12
improving efficiency reducing its emissions and,24
supporting job growth and energy security,3
We support alternative fuel options and in FY21,24
50 of the diesel FedEx Ground sold to service,12
providers was comprised of various biodiesel,24
blends resulting in almost 16000 metric tons of CO2e avoided We are also actively exploring alternative fuels for certain categories of vehicles,24
that are currently not easily electrifiable such as,4
longhaul Class 8 trucks We are collaborating,24
with manufacturers to test and pilot projects,15
invest in research and development and build,2
test sites to rapidly evaluate various technologies,4
Aircraft fuel conservation and fleet modernization,24
In 2008 we set an aggressive goal to reduce,12
our aircraft emissions intensity 20 by 2020,21
compared to a 2005 baseline In 2011 we,12
stretched our 2020 target to an even more,12
ambitious 30 reduction from our 2005 baseline,12
A global increase in shipping volume,15
exacerbated by the COVID19 pandemic,13
delayed the retirement of certain older aircraft,24
and led us to fall short of our goal In 2021,12
we continued to experience unprecedented,24
demand for our express delivery services,24
due to the ongoing pandemic and increase in,13
ecommerce volumes rivaling our peak holiday,4
season traffic Our dedication to the global community never wavered and we continued,10
to provide essential transportation of critical,5
protective equipment PPE and COVID19,5
vaccines across the world Due to the increased,2
demand for essential deliveries ecommerce,24
and other global shipments in 2021 our aircraft,15
emissions increased 12 compared to our 2020,21
performance However we have reduced our,18
overall aircraft emissions intensity by 27 since,21
2005 primarily because of our ongoing FedEx,18
Fuel Sense and aircraft modernization initiatives,24
As we continue dealing with the ongoing,5
challenges posed by the pandemic we will,13
remain agile and flex our networks to align,3
with shipping volumes and other customer,15
needs without losing sight of our longterm,3
To help reach our goal of carbon neutral,24
operations by 2040 we are building on the,3
success of FedEx Fuel Sense Despite the,18
significant increase in shipping volume and flight,15
activity due to the COVID19 pandemic our team,13
members remained committed to improving our,10
fuel efficiency and reducing our environmental,24
impact which led to 65 million gallons of jet fuel,24
savings from our FedEx Fuel Sense program in,24
FY21 Since the programs founding in 2006 we,12
have implemented 70 fuelsaving initiatives,12
saving 948 million gallons of jet fuel and avoiding 93 million metric tons of CO2e,24
We maintain one of the largest fastest and,4
most innovative cargo aircraft fleets in the world,24
at the end of FY21 and our MD1030 fleet is expected to retire by the end of December,3
We will also introduce 50 Cessna SkyCourier 408 cargo aircraft the first of which we anticipate to,15
2022 Our fleet modernization continues as we,3
be delivered in spring 2022 to help reduce the,2
took delivery of four Boeing 777F aircraft in,21
number of planes needed per feeder route and,21
FY21 and plan to deploy an additional 12,5
further improve our fuel efficiency Through our,24
Boeing 777F aircraft between FY22 and FY25,21
aircraft fleet modernization efforts we saved over,3
comprised of almost 700 planes We are,21
Similarly we took delivery of 16 Boeing 767F,24
committed to modernizing our aircraft fleet to,3
aircraft in FY21 and plan to deploy an additional,5
146 million gallons of jet fuel and avoided almost 15 million metric tons of CO2e in FY21,24
reduce costs enhance reliability and operational adaptability improve fuel efficiency and reduce,24
emissions The global pandemic and increase in,13
50 B767F aircraft between FY22 and FY25 Delays could impact these timelines,12
shipping demand have prolonged our fleet,24
In FY21 we began deploying the first of 30 new,5
modernization timeline However in spite of,3
factorybuilt ATR 72600F aircraft for shorter,24
