paragraph,predict_label
Please direct questions on this report or topics related to our environmental social and ,"10
"
This report contains forwardlooking statements within the meaning of the US Private Securities Litigation Reform Act of 1995 Forwardlooking statements generally are identified by words such as anticipates aimsaspires believes commits estimates expects intends may projects plans could should will continue and other similar expressions All statements other than statements of historical fact could be forwardlooking statements which speak only as of the date they are made are not guarantees of future performance and are subject to certain risks uncertainties and other factors many of which are beyond our control and are difficult to predict Numbers and percentages used in this report are estimates or approximations and may be based on assumptions We describe risks and uncertainties that could cause actual results to differ materially from those expressed in or implied by any of these forwardlooking statements in our SEC filings including our most recent Annual Report on Form 10K and our subsequent reports on Forms 10Q and 8KExcept as required by law we do not intend to update or revise any forwardlooking statements as a result of new information future events or otherwise ,"18
"
Visa is one of the worlds leaders in digital payments Our mission is to connect the world through the most innovative ,"12
"
reliable and secure payments network  enabling individuals businesses and economies to thrive We facilitate global ,"0
"
commerce and money movement across more than 200 countries and territories among a global set of consumers ,"4
"
merchants financial institutions businesses strategic partners and government entities through innovative technologies ,"12
"
Uplift everyone everywhere by being the best way to pay and be paid ,"11
"
To learn more please visit our website visacom ,"12
"
20192021 Financial Results GAAP in millions except for per share data Fiscal Year Ended September 30 ,"18
"
Diluted class A common stock earnings per share ,"4
"
At the Board level the Nominating and Corporate Governance ,"12
"
Committee has formal responsibility to oversee and review our ,"12
"
management of ESG matters overall ESG strategy stakeholder ,"3
"
engagement formal reporting and policies and programs in ,"12
"
Visa is committed to operating as a responsible ethical ,"0
"
inclusive and sustainable company As a global leader in ,"8
"
digital payments Visa strives to join with clients partners ,"12
"
and communities to thrive We focus on mitigating risk and ,"10
"
In 2021 the Board in full and in individual committees ,"7
"
discussed a range of ESG topics including human capital ,"3
"
Visa believes in the importance of strong layers of ,"4
"
governance to ensure proper guidance and oversight is ,"12
"
To inform our ESG strategy we conduct a biennial materiality  ,"3
"
assessment in accordance with best practice ESG reporting  ,"12
"
ESG trends global regulatory changes and internal and  ,"12
"
our last formal assessment in 2019 Our process includes  ,"12
"
ESG topics We review direct feedback from shareholders  ,"12
"
ESG activities are managed at a functional level across our ,"3
"
strategic and operational areas with executive and Board ,"7
"
oversight Visas Chief Sustainability Officer is responsible for ,"3
"
leading the coordination of oversight and development of our ,"12
"
The sections of this report are organized in line with the ,"12
"
results of our materiality assessment We use terms such ,"12
"
global ESG efforts At the management level a crossfunctional ,"18
"
as priority issues and significant issues to refer to our ,"10
"
group of more than a dozen senior leaders contributes to ,"7
"
1 In this report our use of the terms material materiality and other similar terms refers to materiality within the context of our ESG programs and priorities We are not using these terms as they are used under the securities or other laws of the United States or any other jurisdiction or as these terms are used in the context of financial statements and financial reporting ,"12
"
understand their views and concerns we can improve and ,"12
"
expand our ESG strategic priorities across our business We ,"3
"
regularly engage our stakeholders in a variety of ways ,"12
"
There are four primary principles that guide our NEO ,"10
"
For FY21 the Board developed a scorecard approach for ,"12
"
annual bonuses In the scorecard ESG goals are included ,"12
"
alongside financial client and other goals that are all critical ,"12
"
to our corporate strategy and our longterm success The ,"3
"
Board reviews Visas performance relative to all the goals in ,"12
"
the scorecard including ESG goals when determining NEO ,"3
"
In 2021 we increased our ESGfocused engagement with  ,"12
"
our shareholders by contacting our top 75 investors ,"3
"
representing more than 66 percent of our outstanding  ,"12
"
Class A common stockto discuss Visas ESG strategy  ,"3
"
our outstanding Class A common stock and provided  ,"18
"
of the Board of Directors a quarterly update on feedback  ,"7
"
In FY21 the annual bonus scorecard included among other ,"12
"
topics goals related to digital enablement of small and ,"3
"
The United Nations UN Sustainable Development Goals SDGs provide ,"10
"
a blueprint for governments businesses and civil society organizations to ,"12
"
address the most pressing environmental and social issues globally At Visa ,"10
"
we are committed to helping address sustainable development challenges ,"10
"
and create inclusive economies and a thriving planet ,"8
"
We believe our work contributes most to addressing the following nine SDGs ,"10
"
Ensure inclusive and quality education for all and promote lifelong learning ,"2
"
Achieve gender equality and empower all women and girls ,"8
"
Promote inclusive and sustainable economic growth employment and decent work for all ,"11
"
Take urgent action to combat climate change and its impacts ,"13
"
Dow Jones Sustainability North America Index2021 SP Global ,"18
"
Visa is committed to advancing inclusive equitable and ,"8
"
We are focused on reaching people who have been ,"10
"
to resources that can help improve their economic ,"12
"
According to the UN micro small and medium enterprises ,"17
"
MSMEs or SMBs account for 90 percent of businesses ,"18
"
60 percent to 70 percent of employment and 50 percent ,"11
"
of GDP worldwide making them a vital contributor to the ,"12
"
We continue to develop products to advance digital ,"15
"
device to a POS device enabling access to a lowcost ,"1
"
A payment solution that helps businesses and individuals ,"12
"
move money between billions of cards and accounts ,"18
"
worldwide Businesses can use Visa Direct through their ,"4
"
financial institutions to deliver fast simple and efficient ,"12
"
payments to customers and workers Individuals can use ,"0
"
Visa Direct to pay others back send gifts share costs and ,"12
"
that allows users to send payments directly from a ,"0
"
Visa prepaid debit or credit card account to a range of ,"12
"
In 2020 we announced a global commitment to digitally ,"12
"
enable 50 million small and micro businesses by the end of ,"3
"
2023 To accomplish this goal we are introducing a range ,"12
"
of locally designed programs and solutions that include ,"12
"
for merchants of any size Tap to Phone allows sellers to ,"4
"
use a mobile application to accept payments without ,"22
"
more quickly connect to the Visa network fasttracking ,"4
"
A solution that helps businesses create flexible creative ,"15
"
digital commerce solutions to help them grow whether ,"1
"
they need help digitizing payments establishing an online ,"4
"
merchants and businesses using just a mobile phone Scan ,"1
"
to Pay expands payment options for consumers without ,"12
"
insurance IF50 aims to make these startups more visible ,"12
"
to investors and partners who can provide capital and ,"3
"
Visas Practical Business Skills educational portal houses free ,"2
"
resources and interactive tools to help business owners ,"3
"
start manage and grow their small businesses The program ,"3
"
Over the last three competitions IF50 has attracted over ,"4
"
fewer than ten employees thrive via a variety of resources In ,"8
"
increased their funding by 620 million in the year ,"12
"
2021 we expanded the program globally and offer resources ,"12
"
following their win Winners benefit from access to ,"2
"
zerocost tools such as Visas Practical Business Skills and ,"8
"
Visa has also built localized online resources in more ,"12
"
than 20 countries to provide tools partner offers and ,"12
"
VEI is a global innovation program that tasks startups to ,"4
"
Complementing our support of solutions and skills Visa ,"8
"
develops partnerships and initiatives in support of SMBs ,"12
"
The program first launched in the US in 2015 Since ,"2
"
then VEI has engaged 8500 startups in more than 100 ,"3
"
can bring enormous benefits to small businesses Visas ,"4
"
efforts are focused on helping to ensure both existing and ,"12
"
Visa is a founding supporter of the Inclusive Fintech ,"8
"
VEI is committed to supporting diversity in the startup ,"8
"
community as a platform for brilliant innovators of all  ,"3
"
For example in 2021 we partnered with StartOut to help  ,"2
"
As the official payment services technology partner of the ,"1
"
NFL Visa ran a seasonlong commitment to support small ,"12
"
businesses as part of its partnership with the NFL Visa ,"12
"
teamed up with several teams to give away grants totaling ,"12
"
60000 to support Blackowned small businesses in and ,"8
"
around New York City and Santa Clara California that have ,"4
"
partisan center of excellence for research and public,"12
"
overarching mission is to promote public policies that ,"12
"
It develops new research and insights to inform long,"2
"
Visa established VEEI as the next step in our ,"12
"
A team of fellows composed of subject matter ,"12
"
economies The three focus areas of the VEEI are ,"4
"
growth through trade and imagining an open future ,"4
"
Communities and economies thrive when all individuals are  ,"10
"
included in the formal financial system and can benefit from  ,"12
"
financial and digital access Our initiatives and partnerships ,"12
"
focus on helping to enable equitable access to the financial ,"2
"
The following section provides illustrative examples of how ,"4
"
Visa continues to support digital equity and inclusion ,"8
"
Visa worked with governments to reach individuals without ,"12
"
bank accounts and encourage people to spend locally and ,"12
"
method that replaces paper checks for disbursement of ,"0
"
Child Support and Temporary Assistance to Needy Families ,"2
"
For benefit recipients especially those without a banking ,"12
"
relationship Visa Government Prepaid cards provide a safer ,"12
"
alternative to carrying cash and checks and are a convenient ,"12
"
Greater financial knowledge can empower people to better ,"8
"
manage their money and improve their quality of life Our ,"15
"
Money Skills strives to link consumers educators banks ,"4
"
and governments to the tools and resources they need ,"12
"
Practical Money Skills programs have now been offered in ,"2
"
48 countries and 19 languages and reached more than 32 ,"12
"
The COVID19 pandemic highlighted the increased need for ,"13
"
efficient distribution of financial support to people in need ,"2
"
Visa continues to develop new services and work with ,"2
"
external partners to support gig and hourly workers as the ,"11
"
gig economy grows Visa and our Earned Wage Access ,"11
"
through Visa Direct enabling workers to access and ,"11
"
transfer earned wages to their bank accounts or eligible ,"11
"
debit cards in real time rather than after the typical two,"4
"
In 2021 we continued supporting gig workers through ,"11
"
1 Actual fund availability varies by receiving financial institution receiving account type region and whether the transaction is domestic or crossborder ,"18
"
We also partnered with Black Girl Ventures The Female ,"8
"
has significant economic benefits Our goal is to increase ,"12
"
Quotient and IFundWomen to support Black women owned ,"11
"
the number of women who control capital the number ,"11
"
	  Extended Shes Next Grant Program to award 60 ,"12
"
At Visa we are committed to using our time talent and ,"8
"
resources to support and strengthen the communities and ,"10
"
of women entrepreneurs who can access that capital ,"8
"
Black women entrepreneurs with a 10000 grant one ,"8
"
and the number of women who benefit from those ,"2
"
At the Visa Inc corporate level we engage locally through ,"4
"
The challenges that women entrepreneurs face are universal ,"8
"
Together Visa in collaboration with IFundWomen have been ,"12
"
creating access to funding and education for womenowned ,"2
"
small businesses around the world through the Visa Shes ,"17
"
	  Partnered with Black Girl Ventures to provide small ,"2
"
businesses with a set of digital products and education ,"15
"
	  Visa and The Female Quotient hosted a virtual Shes Next ,"4
"
event focused on celebrating the Black community and ,"8
"
In 2021 we launched the Shes Next Grant Program in the  ,"12
"
US Canada Ireland and India providing 85 grants totaling  ,"12
"
empowerment through our efforts to empower women at ,"10
"
to pursue their dreams both on and off the field We ,"8
"
Visa supports the US Womens National Soccer Team ,"10
"
FIFA including the FIFA Womens World Cup FIFA U17 ,"10
"
Womens World Cup and FIFA U20 Womens World Cup ,"10
"
In 2021 Visa Inc contributed approximately 215 million ,"12
"
to charities around the globe while Visa Foundation ,"2
"
to give through donations of time and funds Visa ,"12
"
Visa offers to match employees personal donations 11 ,"12
"
up to USD 10000 per year we also offer 21 matching in ,"12
"
response to major disasters and other significant events ,"5
"
Visa offers two days of VTO each year to eligible employees ,"11
"
to volunteer for the charity or activity of their choice during ,"2
"
Employees can earn 10 per hour spent volunteering up to ,"11
"
500 per year to contribute to the charities they support ,"2
"
plus each quarter two employees from each Visa region ,"8
"
are awarded 1000 to give back to a charity of their choice ,"2
"
around the world to facilitate our programs while also ,"2
"
to direct 50 each in loans to SMBs on the Kiva platform ,"12
"
For fiscal year 2021 Visa leadership set a goal of 70 ,"12
"
partnership and more We exceeded this goal with ,"12
"
At Visa we believe that volunteering in the communities ,"10
"
in which we live and work is the most impactful way our ,"3
"
employees can give back while also developing their skills ,"8
"
In 2021 more than 4200 employees from 53 countries ,"11
"
In employee giving in 2021 nearly 6000 employees ,"11
"
donated to 5800 charities in 73 countries matched ,"2
"
by Visa for a collective 147 million For Giving Tuesday ,"12
"
Visa offered a double match for employee donations up ,"12
"
to 1000 On that day 4200 employees participated ,"11
"
and combined with Visas match donated 71 million to ,"12
"
In 2021 Visa stood with our Asian American and Pacific ,"8
"
Islander AAPI employees partners and clients in the ,"8
"
community In response to violent actions against the ,"10
"
AAPI community in Atlanta in 2021 we doublematched ,"4
"
In 2021 82 of employees participated in this effort ,"11
"
and collectively helped distribute 850000 in loans to ,"12
"
Collectively between 2020 and 2021 we directed 15 ,"12
"
million in loans to 38000 small businesses in 38  ,"2
"
Award for Employee Engagement for the Kiva and  ,"10
"
In 2020 Visa launched an employee mentorship program ,"8
"
with Bridge for Billions Through this online program Visa ,"12
"
in the US on a threemonth incubation journey to help ,"2
"
them review their business models define their financial ,"3
"
projections create growth plans for their ventures and more ,"3
"
In 2021 we engaged over 60 SMBs through the Bridge for ,"24
"
Visa also partnered with Digital Boost a nonprofit digital ,"2
"
seeking to digitize as a result of the COVID19 pandemic ,"18
"
Through this program Visa employees apply their areas of ,"8
"
expertise to mentor small businesses Through the end of ,"3
"
2021 we supported over 166 SMBs in the UK through our ,"12
"
Visa responds to humanitarian crises and disasters in ,"5
"
Throughout 2021 Visa Inc and Visa Foundation provided ,"12
"
	  Hurricane Eta and Hurricane Iota in Central America ,"13
"
	  Typhoon Goni and Typhoon Vamco in the Philippines ,"13
"
Additionally Visa Foundation uses capital as a tool to enable ,"4
"
the flow of investment capital to gender diverse SMBs ,"8
"
Visa Foundations activity has a global reach with a deep ,"12
"
In 2021 Visa Foundation committed 181 million in grants ,"12
"
and 505 million in impact investments via its Equitable ,"12
"
a fiveyear 20 million partnership with Womens World ,"8
"
Banking to support womenowned SMBs around the world ,"18
"
	  Mt Nyiragongo Eruption in Democratic Republic of the ,"23
"
Womens World Banking drives impact through its scalable ,"3
"
private equity fund and leadership and diversity programs ,"8
"
Visa Foundation is an Annual Disaster Giving Program ,"5
"
member of the American Red Cross representing a ,"12
"
commitment of 500000 annually to help the Red Cross ,"2
"
Following the Russian invasion of Ukraine in early 2022 Visa ,"5
"
prepare for disasters across the US such as Hurricane Ida ,"5
"
Inc took swift action to ensure the safety and security of ,"9
"
our people who were directly impacted Visa Foundation ,"10
"
provided a 2 million grant to the US Fund for United ,"12
"
in 2020 a fiveyear 200 million strategic commitment ,"3
"
to support gender diverse and inclusive SMBs around the ,"8
"
world As a part of the initiative Visa Foundation will provide ,"12
"
at least 60 million in grants and 140 million in impact ,"12
"
investments to organizations at the forefront of economic ,"12
"
donations to the Ukraine response funds of UNICEF and ,"2
"
the Red Cross raising almost 14 million between reported ,"2
"
employee donations and Visa match Visa Inc and its ,"12
"
clients waived interchange fees in the US Canada and ,"12
"
We continue to work with clients across different regions ,"10
"
to meet their unique needs and accelerate the adoption of ,"15
"
Visas ecosystem is a network of networks that enables ,"1
"
Provide financial institutions with tools to identify identity ,"22
"
We measure the effectiveness of our approach to ,"12
"
fraud at account opening Through our financial institution ,"0
"
payments security on an ongoing basis We monitor ,"0
"
clients we provide tools to manage security including ,"1
"
metrics such as fraud rates for Card Present and Card ,"0
"
Not Present scenarios as well as transaction volumes ,"4
"
For payments security we are committed to making our ,"1
"
ecosystem the most secure resilient and trusted engine ,"3
"
of commerce We continuously scan the ecosystem to ,"23
"
identify and invest in new capabilities work with clients to ,"3
"
help secure the environment and take action to improve ,"23
"
the security integrity and resiliency of our network ,"3
"
We invest in innovation to build and maintain trust for ,"4
"
Specifically we have invested approximately 9 billion in ,"12
"
cybersecurity over the past five years with about 500 ,"1
"
million of that specifically allocated to data and artificial ,"1
"
intelligence AI capabilities We continue to evolve our ,"1
"
strategies to prevent unauthorized access to Visa accounts ,"0
"
Use tools such as Visa Advanced Authorization which ,"12
"
applies realtime AI and machine learning to evaluate the ,"4
"
security capabilities and work to lower our global fraud ,"0
"
rate which is at an alltime low of 007 for every 100 in ,"12
"
transaction disputes with Visa tools such as Verifi which ,"4
"
information from sellers via a global datasharing network ,"16
"
balance fraud reduction and dispute prevention Our aim ,"0
"
is to increase approvals so that businesses can thrive while ,"3
"
customers are protected and satisfied  no matter where ,"4
"
that leverage secure technologies such as 3D Secure ,"1
"
the operational resilience of our network by engaging ,"3
"
benchmark our thinking and approach and steer our ,"4
"
Visa is leveraging AI to improve our customer experience and enhance processes that enable the movement of billions ,"15
"
of dollars across thousands of institutions in more than 200 countries and territories and 160 currencies In February 2021 ,"12
"
Visa announced VisaNet AI a suite of AIpowered services that enhance predictability transparency and speed in the ,"0
"
payment experience VisaNet AI includes Visa Smarter Posting and Visa Smarter Settlement Forecast as well as Visa ,"12
"
When a restaurantgoer adds a tip or when a crossborder payment involves multiple currencies the amount ,"12
"
authorized in real time at checkout can differ from the amount eventually cleared from a consumers account Banks ,"18
"
often delay posting the payment or updating the account balance until they have certainty about the final amount To ,"12
"
help issuers create a better banking experience for cardholders Visa developed Smarter Posting a service that uses AI ,"12
"
to deliver a customized score for each transaction as part of the authorization process The Smarter Posting model ,"4
"
analyzes transaction details and historical data to predict the likelihood that a transaction amount will remain consistent ,"22
"
As the final step in the payment cycle transactions are aggregated transfers are facilitated between acquirers ,"12
"
and issuers and merchant accounts are credited for completed sales Visa created Smarter Settlement Forecast to ,"12
"
provide financial institution clients with customized 7day forecasts of the settlement amount they may need on hand ,"12
"
each day The service uses information generated by historical settlement volumes seasonal indicators macrotrends ,"12
"
outlier events and realtime transaction data to provide highquality predictions of cash outflows and inflows ,"18
"
Smarter STIP uses deep learning to help financial institutions increase transaction authorizations during outages ,"18
"
Smarter STIP generates an informed decision to approve or decline transactions on behalf of issuers to provide ,"12
"
solutions include Visa Behavior Analytics and the Self,"4
"
Recognizing that the cyber threat landscape continues to ,"1
"
and technology assets including the safe handling of ,"15
"
building our own products we keep cybersecurity data ,"1
"
Controls are reviewed at least annually and updated as ,"12
"
We use an established risk assessment methodology and ,"18
"
needed to address any changes to industry or regulatory ,"12
"
business impacts Over the past several years Gartner ,"3
"
Visa its highest rating among peer companies for the ,"18
"
At Visa we build and use AI to detect and secure cyber ,"1
"
capabilities based on our core areas of focus including ,"3
"
build security into applications with the very first lines ,"1
"
of code We augment our core detection capabilities ,"1
"
with a proactive approach where we hunt for traces of ,"4
"
Visa uses novel innovation in the new field of behavior ,"4
"
training and conduct annual Key Controls training for all ,"12
"
new technologies and processes to enhance our security ,"1
"
staff to promote good cyberhygiene and familiarity with ,"1
"
No single technology in isolation can stop every threat ,"1
"
We deploy multiple redundant layers of preventative and ,"5
"
detective technologies across our network and data layers ,"1
"
In the rare event cyber criminals succeed in breaching ,"1
"
Visa processes and tools In 2021 100 percent of eligible ,"12
"
Visa Cybersecurity has launched an ecurriculum of online ,"1
"
training modules covering such topics as Phishing Data ,"1
"
one layer the doors beyond that layer are locked We ,"5
"
collaborate and share our security approach with industry ,"1
"
provide regular updates to the full Board including an  ,"7
"
offerings to champion the development of AI products ,"15
"
The following sections describe some of the components we ,"12
"
use to enact our cybersecurity strategy across the business ,"1
"
the year These include intranet pages dedicated to various ,"1
"
topics such as phishing prevention and secure file transfer ,"1
"
relevant tips such as secure remote working executive ,"1
"
appropriate purposes In addition to operating one of ,"12
"
In 2021 we further evolved the Visa Cyber Fusion ,"1
"
Framework to drive an active and adaptive global Cyber ,"1
"
Defense capability This capability allows us to scale to ,"1
"
meet the increasing threat landscape through the ability ,"18
"
to rapidly collect analyze and use cyber threat intelligence ,"1
"
security tools and assets We augment our data with ,"1
"
intelligence from hundreds of unique sources to enhance ,"1
"
In addition we are subject to privacy and data security ,"1
"
laws such as the GrammLeachBliley Act GLBA and the ,"12
"
At Visa building trust begins with a commitment to ,"12
"
We also leverage AI and deep learning technology to ,"4
"
privacy and security which instills confidence in our ,"1
"
monitor our network and understand the threats aimed ,"1
"
employees and clients protects our brand and allows ,"22
"
at our company As cybersecurity risks continue to ,"1
"
develop we are focused on maintaining our security ,"1
"
posture ahead of the evolving threat landscape We ,"18
"
risk assessments Our efforts to mitigate risks including ,"18
"
consulting and data processing services We also create ,"1
"
data products that give our clients insights into their ,"22
"
At Visa we have accountable executives and hundreds of ,"0
"
around the world on these topics Our Global Privacy ,"1
"
around the world is led by Visas Chief Privacy Officer and ,"1
"
The Corporate Risk Committee and the Visa Boards ,"18
"
Audit and Risk Committee oversee the Global Privacy ,"1
"
Program and the risks related to data privacy including our ,"1
"
	  We adhere to high ethical and legal standards ,"0
"
	  We do not sell personal information Our Global Privacy ,"22
"
approach and systems we conduct annual internal and ,"0
"
external audits of our IT infrastructure and applications ,"18
"
These systems also are subject to examination by the ,"12
"
and other regulators from across the globe Examples of ,"12
"
Notice describes how we share information such as ,"22
"
when we process payments provide services to card ,"0
"
issuers prevent fraud or with a cardholders consent ,"0
"
We utilize data to improve the security and value of the ,"1
"
Visa network better serve our clients and partners ,"4
"
Data use at Visa should benefit individuals businesses ,"22
"
and economies We strive to do this by delivering greater ,"4
"
several internal committees to help ensure our governance ,"12
"
protect consumers from fraud and drive positive impact ,"0
"
their data is collected used shared and kept secure ,"1
"
Visas application of data and datadriven insights aims ,"1
"
to be fair and inclusive and avoid discrimination Visa will ,"8
"
strive to make our models explainable accurate and safe ,"15
"
Our privacy commitments are outlined in our Privacy ,"22
"
Notices and where we market services directly to ,"4
"
consumers in the terms and conditions of those programs ,"16
"
In addition to our Global Privacy Policy and the internal ,"1
"
standards that form the basis of our Global Privacy Program ,"1
"
we developed a set of Data Values to capture in plain ,"1
"
language the principles we believe should apply when ,"12
"
Visas role as a leader in the payments ecosystem Data ,"1
"
innovation is a vital component of Visas strategy  and ,"3
"
in everything we do  built on our 60year legacy of ,"3
"
Visa payment data is safe There is no higher priority ,"22
"
for Visa than safeguarding those who use our products ,"15
"
Visa will always strive to provide simple explanations ,"4
"
regarding how data may be used and to empower individuals ,"22
"
with easy processes to manage use of their data ,"22
"
Visas approach to data use should be consistently applied ,"22
"
at all levels of the organization and be embedded through ,"8
"
These principles which are aspirational may evolve over time  ,"3
"
based on the needs of consumers businesses and economies  ,"15
"
and to adapt to new privacy and datarelated regulations and  ,"1
"
standards that may emerge As Visas business moves into  ,"0
"
we are committed to engaging with policymakers and  ,"12
"
regulators worldwide to participate in the development and  ,"12
"
Bias or the potential of producing unlawful or undesired ,"4
"
discrimination is one of the greatest risks posed by AI Bias ,"0
"
can enter the product lifecycle at many stages and Visa ,"15
"
believes that mitigation needs to exist at all stages Visas ,"23
"
Model Risk Management MRM tests models for statistical ,"18
"
integrity as well as unintended impacts like bias ,"0
"
and internal values are applied including the MRM ,"12
"
	  Works with acquiring banks to identify and terminate ,"18
"
merchants that are selling illegal items and services ,"0
"
Visa connects the world through the most innovative ,"15
"
is committed to ensuring the integrity of our payment ,"0
"
system We do not tolerate the use of our network and ,"1
"
	  Engages with law enforcement to stay abreast of ,"5
"
products for illegal activity and we are vigilant in our efforts ,"0
"
Our approach to protecting the network is grounded ,"1
"
in the Visa Rules and our robust compliance programs ,"12
"
Visa is a member of the Alliance for Safe Online Pharmacies ,"14
"
a global initiative that works to combat illegally sold ,"0
"
When participants on the network are unable to meet our ,"4
"
requirements we levy financial penalties and based on the ,"12
"
circumstances suspend or terminate them from our system ,"12
"
manages situations where the Visa brand is associated with ,"4
"
Visa continues to respond to situations that developed ,"5
"
merchants pursuant to which acquirers attest to their ,"4
"
	  Provides acquirers guidance and direction on controls to ,"12
"
hiring panels We also instituted a Quarterly Business ,"8
"
Visa has established goals to build a more equitable ,"10
"
workforce In 2021 we made strong progress toward our ,"8
"
Visa has made social justice and racial equality a business ,"10
"
imperative In 2020 our CEO made a public commitment ,"12
"
to Stand Together our effort to address social and racial ,"10
"
inequality within Visa and around the globe through actions ,"0
"
focused on our people our community and our company ,"10
"
To support these efforts in 2021 we welcomed Michelle ,"12
"
By committing to building developing and investing in ,"12
"
Black and African American and Latinx employees as well ,"8
"
underrepresented groups at the vice president level and ,"0
"
above in the US by 50 by 2023,"12
"
groups we can create more socially and racially  ,"8
"
Visa employees in the US by 50 by 2025,"11
"
Gethers as our Chief Diversity Officer  Head of Corporate ,"8
"
Responsibility  a role that reports directly to our CEO and ,"10
"
We are committed to undertaking the next steps in our ,"10
"
journey with the goal of driving lasting change through,"10
"
At Visa we want our employees to feel like they belong We ,"8
"
invest in a workplace that encourages diversity of thought ,"8
"
culture and background so that diverse perspectives are ,"8
"
embedded in the work that we do We create an inclusive ,"10
"
workplace by encouraging employees to come as they are ,"8
"
and by investing in robust inclusion and diversity training ,"8
"
We are committed to creating and maintaining a diverse ,"8
"
talent pipeline In the United States we have embedded ,"8
"
our commitment to diversity and inclusion in the hiring ,"8
"
process including diverse candidates in all job slates and ,"8
"
Data is based on company records as of September 30 2021,"22
"
2 Other American IndianAlaska Native Native HawaiianOther Pacific Islander and two or more races Ethnicity data does not include undeclared and blanks,"8
"
In 2021 we conducted the following initiatives to help ,"12
"
	  Introduced Leading and Belonging at Visa a new ,"12
"
and advance Black and African American talent and ,"8
"
Senior Director talent and our own cluster coaching ,"8
"
program for employees up to the Senior Director level ,"8
"
